ts,token,sembol,kaynak,ilk,pair_yas_saat,pair,dex,pair_olusma,fiyat,liq,fdv,mcap,vol_m5,vol_h1,vol_h6,vol_h24,al_m5,sat_m5,al_h1,sat_h1,al_h6,sat_h6,al_h24,sat_h24,deg_m5,deg_h1,deg_h6,deg_h24,boost,n_web,n_sosyal,n_pair,etiket
1789107885,2YhZUBBVxoDAEtXMhkRjHvAHvkDibyxN3ABHQ9Sspump,CAT,topboost,1789106474,46.14,BzZFqwcoATKE8KAXNsoVJsxkUdUVAnvGNsGUuizcFv2C,meteora,1788941779,0.00004437,23969.65,42873,42873,0,0,0,103181.5,0,0,0,0,0,0,1746,1491,,,,-4.31,500,1,1,1,DLMM
1789107885,3wRMLKQN1NXfEJWUnCq5BqdDNQhj6kADWJBfRAufpump,TESTICLE,topboost,1789106474,15.22,EwQNVBX4qWHdsvTozHMqVa938u9dCmGicQgNL7wvsKS4,pumpswap,1789053103,0.000002200,2498.95,2174,2174,0,5.45,196342.43,2562162.59,0,0,5,0,4902,18184,74041,45207,,2.08,-99.67,-96.86,100,1,1,1,
1789107885,7MCgYMzq3fov6oERdtTMAYbN2U9LZrrSYS1MBhjixZFr,POLLY,topboost,1789106474,14.98,ByKfqBGyHQj1hmEUouXfueLJEU1SHdJz3uMtd1yXGunS,raydium,1789053939,0.0009451,88781.75,945160,945160,190.03,21489.97,345539.11,2854644.56,6,5,101,78,1612,1187,16349,11711,-0.22,8.01,-48.28,2170,100,1,3,1,CPMM
1789107885,9gMyvDXBRUb4BaWSmoG7msm5eX8cCBggoBnU72Fupump,GAY,topboost,1789106474,15.3,CzDGGB2ztpddqDb2YVE4JqhSWob6gWowBQ2zVCQvsWzx,pumpswap,1789052812,0.000001969,2085.66,1947,1947,0,0,2.02,654741.78,0,0,0,0,2,2,17911,9242,,,-0.55,-97.6,100,1,1,1,
1789107885,9XCP3Es48MccofbwBM9ig18WnG8CMcivqzKH1VSJpump,NVDA,topboost,1789106474,21.49,DBThSUgqr9PSy18LSG35B4LjweVJbPttVWPH5Mi7ehEh,pumpswap,1789030510,0.000002421,2537.1,2393,2393,0,0.28,25.45,852680.96,0,0,1,1,14,7,14564,6520,,-0.7,,-97.28,100,1,1,1,
1789107885,GXMC2PM1FA8BZT4uBKoquDdSVBVNdRBQsKAPrzSupump,ASSDAQ,topboost,1789106474,19.01,2RZYjkq6X8jgfWMKLonh9PaijeyVgavZpNA3RJWTRaLR,pumpswap,1789039462,0.000001936,2063.24,1918,1918,0,1.73,6.61,635905.29,0,0,0,1,6,2,11868,7003,,-1.4,0.01,-96.56,100,1,1,1,
1789107885,5Srsp89BUAuGTf1sFMntp6aW9GnUocrXfHJRYnFxpump,PUSSY,topboost,1789106474,16.29,3vdMpn5kvyf8sPfhgeewZaXav8JEJ2Q2fYcY8TGZxRKq,pumpswap,1789049241,0.000001923,2023.64,1904,1904,0,0.07,26.24,554519.66,0,0,0,1,6,8,8261,5801,,0.85,-0.23,-96.68,100,1,1,1,
1789107885,7paKY5zJ98AgtGsMvRxw68uo9WefQ4eryB5SNfH2pump,holyfrog,topboost,1789106474,15.77,A9tsTcTzQ8rLrvCBwWdsVCfcJnZvoe79y6uwgcfAAxNX,pumpswap,1789051123,0.00007372,21726.23,71808,71808,794.27,11939.56,114349.51,378698.42,12,5,194,93,1360,680,8666,2766,-1.55,-6.72,-6.05,55.54,100,1,2,1,
1789107885,Hg5Ja55T5wESq4vyFoiVCMeHXtGyVA69X2UHq8hgpump,baton,cto,1789106474,33.88,Cb7ZRgPLhji3Th7htXyKEqbXvNjPpeTvckXuWakBUhXu,pumpswap,1788985934,0.002802,211438.31,2798771,2798771,3491.85,48657.69,1503011.16,7313921.64,19,3,184,146,4439,3929,22328,18695,-3.16,-3.55,5.92,-28.85,0,1,1,1,
1789107885,A8AdxR4WqCMvE9ZdzSGKtczGpUhYJ7EjcQXNF2YY5smj,Brian,cto,1789106474,25.72,JC5ADeGLYXN2UyZLf4PCPXhiBLYRrMYpmgyacAJFUbgk,raydium,1789015276,0.00008015,27951.18,80154,80154,627.78,4297.97,66589.14,573347.79,2,4,26,29,387,328,3984,3183,1.95,-0.77,-19.9,-68.61,0,1,1,1,CPMM
1789107885,81yZUXCLzmSULad8F8xCXTQXaka1y7L23PeMBmcJ5CKG,WorldCup,gecko,1789106474,0.42,4it36Nj5jfMKT8AtjAdisv1Rb1DDY3fUPbPTGdJjBVEz,meteoradbc,1789106368,0.00004878,,48786.14,48786.14,0,5599.47,5599.47,5599.47,0,0,245,240,245,240,245,240,,32.66,32.66,32.66,0,0,0,1,
1789107885,DAJqod4TunvykoAMYtpjLyNQ1NhiX7ob8rqZiqtNJYBv,Pleb,gecko,1789106474,0.41,6SQnK9iM6Fp8HzhwNveppbsF8zR7pSKCogFWWjSwLrqe,meteoradbc,1789106414,0.00003292,,32926.39,32926.39,0,5372.92,5372.92,5372.92,0,0,147,188,147,188,147,188,,163,163,163,0,0,0,1,
1789107885,2tYPMnumTQ3sZuZSYV2mTtArFbymC8toYKayA58tiHwq,RICH,gecko,1789106474,0.42,EVvUCQEAXyvkdYEkRcEmBJsHBT2s8t8ov7U189m5TDoZ,pumpswap,1789106357,0.00001044,0,10440,10440,0,918241.33,918241.33,918241.33,0,0,3524,1584,3524,1584,3524,1584,,30.39,30.39,30.39,0,0,0,1,
1789107885,7ZtE2QFw7th8ktXM5HCYbqxDTpttDEWvdjHbFEP7pump,NVIDOG,gecko,1789106474,0.42,C3X4dUi5KuaSu1tz3xkRrDNPxUM8XjYCTZwvrA5Skn5t,pumpswap,1789106379,0.000001866,1907.98,1866,1866,0,150238.99,150238.99,150238.99,0,0,2670,2724,2670,2724,2670,2724,,-97.65,-97.65,-97.65,0,0,0,1,
1789107885,7pmwGBu5nu5JX66TVcFfnTFr7XvUpZzdDfNkh9k3pump,Penny,gecko+profil,1789107885,0.04,3yvKvk8Pgchyj9xvWDSBdtzUvHVT1saMQfjSnfFHAYZt,pumpswap,1789107730,0.00001692,9152.32,16924,16924,25697.79,25697.79,25697.79,25697.79,465,355,465,355,465,355,465,355,-58.17,-58.17,-58.17,-58.17,0,0,2,1,
1789107885,9fnxwniorw1n6aoCJWjPVMXND981qdJanb2Tw5mWpump,Nasbrain,profil,1789107885,0.48,BVPprVYcE56Scndc98bQcoYwuz4tHmbg4cC1HyvCtyU,pumpfun,1789106171,0.00004103,,41030.49,41030.49,0,8488.63,8488.63,8488.63,0,0,8,0,8,0,8,0,,1369,1369,1369,0,1,1,1,
1789107885,941qKj1W9fwALehFmbGAmoLekdLcGPcZ1kXZfBtpump,trash,gecko,1789107885,0.05,vUz78j1mV8EEeAjfrCbMvKjA2A9dHRhzY9QeoFVY3e9,pumpfun,1789107717,0.00002224,,22240.09,22240.09,323.26,323.26,323.26,323.26,50,32,50,32,50,32,50,32,693,693,693,693,0,0,0,1,
1789107885,Gpdivkxr1WUZPrVQYVyhdGjXtgghFrwm99HffEEKxCfr,Astral,gecko,1789107885,0.05,4ynH2ctisVHwxXAuLDNg7qG2pt7Qu8pCLRsarDyZ9rFu,pumpswap,1789107709,0.00002086,26831.89,20869,20869,74425.19,74425.19,74425.19,74425.19,797,340,797,340,797,340,797,340,139,139,139,139,0,0,0,1,
1789107885,AgxLKAAS7qMQJGTBTxythsTm6gRUgprvTENwtcWeA68p,FIRED,gecko,1789107885,0.05,93LkaqmNqEzhzHrPWp6FAXNvy5qfb36rsyRheAom5h8W,meteoradbc,1789107711,0.00001549,,15497.11,15497.11,14869.42,14869.42,14869.42,14869.42,501,600,501,600,501,600,501,600,34.4,34.4,34.4,34.4,0,0,0,1,
1789107885,BXhbVrYu1J71EvawJVFL4EotgfSgxW1ZdaNnGcs9587j,FATCAT,gecko,1789107885,0.07,4YNJ7caAeoENejvbLQQPDCYyWNdw119mZ5UNFWSNo7FH,meteoradbc,1789107619,0.00004961,,49610.95,49610.95,7229.56,7229.56,7229.56,7229.56,313,312,313,312,313,312,313,312,34.87,34.87,34.87,34.87,0,0,0,1,
