token,ilk_kaynak,kaynak,ilk,pair,son_snap,son_info,son_trade,olu_say,yok_say,durum
A8AdxR4WqCMvE9ZdzSGKtczGpUhYJ7EjcQXNF2YY5smj,cto,cto,1789108929,JC5ADeGLYXN2UyZLf4PCPXhiBLYRrMYpmgyacAJFUbgk,1789109669,1789109669,1789109669,0,0,aktif
H1kXUqEPkQNNeNjGNN5tuHf3nsQK2vB1jUA9c4RggpUf,reklam,reklam,1789108929,D3haaTZfGAuvVsowEGZAXRKQUqG5NGcQ7XwF5X4zsdnY,1789109669,1789109669,1789109669,0,0,aktif
2RX8rVoMSCQkDMKeDLNBRc2mXDoTevx77T8gTQ4KkdPU,reklam,reklam,1789108929,2YtcCVNjo8Gi7WKeiYMkcvc7EPQZdfE65TYZJXm4eMuq,1789109669,1789108929,1789108929,0,0,aktif
7Y7V1a4m2nWK7BMgbka5B4vR1pDvCK7yva3Hnrqkraze,trend,trend,1789108929,937nYYCPzqygDm71FX5XJzepDCnJLca9GSfe5essZK2H,1789109669,1789109669,1789109669,0,0,aktif
8RVBk8vxLiUHueLUW1f4izFVqN3nWippLhkohKg6EGkS,trend,trend,1789108929,BUVzsLLLG7GWoyJVoU31pXiBveazA6GXTavZ9VD3CwS9,1789109669,1789109669,1789109669,0,0,aktif
659xrvMd1Vdc7TUFQ2uL8hFMmbN3i52yqRX3HTGiEbnu,trend,trend,1789108929,DFRju8F4YvLTfMQUhA9L27h1AAGFKUPMb2mfTN9h5ZTB,1789109669,1789108929,1789108929,0,0,aktif
7LxC96Ag4DnBotK6bMMUj4kdneAo1kdV1xHnzVF5s7W2,trend,trend,1789108929,8iUZBKeXCuHDxjbHVFPqhXy14Wk6ZPtC572g7GAtgRVE,1789109669,1789109669,1789109669,0,0,aktif
5dvXTZ5qwgafnHtwu3Ls3QrWx1U4LQsFeCuJgkk4QEC6,trend,trend,1789108929,2y6PCqa4fEp3jLiFdan9jVMw7LSK8F3gwsTfy8p7traE,1789109669,1789109669,1789108929,0,0,aktif
AGi2s9zPRPHs3zEDPhPTroumTEXK5ufymYSfEFndCSSW,trend,trend,1789108929,42JnUXw5N9ftMkbM1tMzJw2tnzqs1U9RxWBk5LzNv4gD,1789109669,1789109669,1789109669,0,0,aktif
1HQAydhWYYauYZYG9NDsLejMFeQ8L9XvYMfQT8FcNu7,profil,profil,1789109408,GhTuHrNTGaJET6HqXT9dNuqtaXmKixBxGPGsBDyAQgQj,1789109669,1789109669,1789109408,0,0,aktif
yTXXmsms5bKXiy9Pg3r71FBKBET13Hto46VuatNBAGS,gecko_yeni,gecko_yeni,1789109408,H8SXjh2wEUAHF8wvVLdvQX8ft3XhnjmjvSiDrZWFdgDf,1789109669,1789109408,1789109408,1,0,aktif
8QJss2u3SuGwkA4p7zRHrRFTQvGbciXqbf2Ghni8pump,gecko_yeni,gecko_yeni,1789109408,BFdtxAyjW6VRmBcSGhcYpo4FsGXJENsdEFzeeAkofbFD,1789109669,1789109408,1789109408,0,0,aktif
FxwxGnk8CP72An586CwoAAmaEZU7QTa2SDuTZXvNpump,trend,profil+trend,1789109408,FFzXWp66vVTF8beps25X7Uu4SUXSePx8vXybdgToR5by,1789109669,1789109669,1789109408,0,0,aktif
M8DyYLDiUpvD7YfM4SPttqcHyXVF556LsMujBDwpump,trend,trend,1789109408,3jAoAkTrXtL8AihDtNCdqX2VW1FyBWqubKmehG8fjLEF,1789109669,1789109408,1789109408,0,0,aktif
8GXgLBrsVhZrTvNb6FHCn8SMUARuZ23XXtEAyWH1nPfA,gecko_yeni,gecko_yeni,1789109669,9cjjo2QrHsJHoLtLFzKE8jCyhJmiZ16EZcsCbTU9mVPj,1789109669,1789109669,1789109669,0,0,aktif
A4fh6mSRAiWzK1N2xgMYN8ZH1VJ7PauyhnaZJTJcs42,gecko_yeni,gecko_yeni,1789109669,GQvbgextN8VuteWWh6q6PsY2BjeLsFa2LLZuMuaRiWAo,1789109669,1789109669,1789109669,0,0,aktif
AgMWUmbKycV1Pc3X3whJn71CEdbbarDQx7q2f5AYpump,gecko_yeni,gecko_yeni,1789109669,5qx4Czs6SzwWtUN5rnfuVK1YgJXJPmAVYahJJjhzEuQt,1789109669,1789109669,1789109669,0,0,aktif
DsXjdeRC2fcYmNG2cYJ8AreU9dVJNFLCmwAznpnhRVq2,gecko_yeni,gecko_yeni,1789109669,GZTrc9a3MMUbzM7VJpdEuwHQVoBbwVgYj2mm9kt4XHtd,1789109669,1789109669,1789109669,0,0,aktif
BPVf9LRmWxebZkN1bvniLtZrBh1HHUW68jY3YUo5Wj77,gecko_yeni,gecko_yeni,1789109669,S6wgQQ58gGX1k4dvibtmuaLMtB5DnQ8Y1WF7n4x45o8,1789109669,1789109669,1789109669,0,0,aktif
DjNB7mw4uAE5TPRJ5qSojCLeLCFn5u9CyAghmpHKpump,trend,trend,1789109669,ASDo5Z5xzUiib8N6NiEQhGmoCmNn6zCZPwijaSZAKYJh,1789109669,1789109669,1789109669,0,0,aktif
aJj9bjhNJAM7UQ4Nfa3eka3PgC8XeyQp7tvxKDCpump,trend,trend,1789109669,GAaYLxGisHKEouUkyKuBabWoBJnk9nrDiXw66P7PF4f6,1789109669,1789109669,1789109669,0,0,aktif
